source,title,question_text,link,failure_score,story_score,noise_score,final_score,reason
naver_kin,스마트스토어 부업 세금,"요새 가장유망한 제2의 비트코인으로 불리우는 파이코인에대해아시나요? 현재무료채굴이가능하며 몇년뒤 얼마가될지는아무도모릅니다. 꼭채굴해놓으세요 파이코인은 무료이며 최초로 스마트폰으로 채굴하는 코인입니다. ￼ 스탠포드 대학 박사들이 개발한 코인으로 23.3월기준 전세계 4,500만명이 채굴중이며, 메인넷 이후 상장예정이라고 하며, 현재로서는 화폐가치는 없고, 보유만 가능합니다. 가지고만 있어도 손해보는게 전혀 없고 휴대폰으로 채굴하는 제2의 비트코인이라고 불리기 때문에 많은 사람들이 채굴중입니다. 비트코인때처럼 놓치지맙시다. 채굴방법 1. 플레이스토어,Apple스토어에서 Pi Network앱을 다운 2. 폰번호또는 페이스북으로 가입하기 3. 폰번호 가입시 나라는 South korea(+82) 체크하고 핸드폰번호 입력. 4. 비밀번호 8자리 이상 입력.(영문 대소문자, 숫자하나는 있어야 합니다) 5. 이름 (first name) 성(last name)입력(여권이름과 동일하게 넣으세요(영문이름) 모국어에는 한국명 성,이름 넣어주시면됩니다.향후 KYC 인증시 여권 이름과 동일해야 합니다.향후 KYC인증을무조건하셔야 채굴한코인을지급받으실수있습니다. KYC인증정말중요![여권,신분증,운전면허증]세개다가능합니다.(메인넷전에 모든인원이인증을받기가능) 6. 사용자이름(username)에 원하는 아이디 입력 7. 초대코드(invitation code) 아이디 gtgtgt55 입력 (입력 후 채굴시 채굴속도상승) Get started 클릭해주고, 메인화면번개버튼클릭해주면 채굴되기 시작하며 상단에 채굴수량 나타남. 채굴은 앱 상단에 표시되며 24시간 단위로 되며 번개표시 눌러야함. 2022년상장할 예정이며 가입자가 더 많아지면 반감기로 채굴 속도가 느려집니다. 초대코드(invitation code):gtgtgt55입력하여 같이 계속 채굴합시다. 채굴은 채굴자의 의사에 달려 있습니다. 가입후 무조건 메인화면 왼쪽상단바클릭 프로필가셔서 핸드폰인증,페이스북인증 둘중하나는무조건하셔야 계정을찾기수월합니다. +이메일인증도 받아두시면 좋습니다",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40309&docId=447629513&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,4,13,0,17,실패 표현은 있으나 애매
naver_kin,우리들의 작은일상카페 재택사기,안녕하세용~ㅎㅎ 혹시 고정수익 들어오는 부업은 관심 없으신가해서 살짝 비 남겨봐요 ㅎㅎ!! * 문제시 보장받을 수 있는 합법부업 * 혼자가 아닌 팀끼리 같이 돈버는 부업 * 단 한명의 피해자도 만들지 않는 부업 * 일안해도 평생 매주 들어오는 고정수익 * 국내최저 초기비용~!!! * 손해볼 수 없는! 서비스제품 제공 ~!!! (군인/공무원/미성년자는 불가) 저희팀과 함께라면 평생동안 죽을때까지 매일매일 250+a로 돈이 들어오는 고정수익을 벌 수 있답니다!^0^ 확실하게 돈 벌게 해드릴게요~ 지금 문의 주세요 ㅎㅎ https://open.kakao.com/o/sal9jEuc,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1060304&docId=332330224&qb=7J6s7YOd67aA7JeFIOyCrOq4sA==&enc=utf8,6,10,0,16,실패 표현은 있으나 애매
naver_kin,틱톡부업사기 검색하다가 당한스토리가 똑같아서...,"최근 경기침체가 장기화되어 부업에 관심을 가지시는 분들이 많습니다. 그런데 이러한 사람들의 심리를 악용해 부업사기를 치는 수법이 유행하고 있어 각별한 주의가 필요한 상황입니다. 사기꾼들은 부업 일자를 얻기를 원하는 사람들의 심리를 악용해 금원을 편취하는 수법을 사용하고 있습니다. 사기꾼들은 간단한 부업으로 큰 수익을 얻을 수 있다고 이야기하며 피해자들을 현혹하는데요. 사기꾼들은 자신들이 만든 가짜 사이트에서 허위 거래내역을 근거로 피해자들을 기망하고, 초기단계에서는 일정한 정도의 수익금을 배분하여 피해자들의 신뢰를 얻습니다. 이후 팀미션 방식으로 피해자들을 가스라이팅하며, 선납을 요구하는 방식으로 금원을 편취하는데요. 팀미션 방식의 부업사기, 구매대행 방식의 부업사기가 유행하고 있어 피해자들의 각별한 주의가 필요한 상황입니다. 최근 유행하는 온라인 부업사기 사건에 휘말린 경우 신속한 법적조치로 피해회복을 도모하셔야 합니다. 피해회복을 위한 골든타임이 지나기 전에 필요한 법적조치를 취해야 피해금액을 회수할 수 있습니다. 구체적인 피해회복 방법은 피해자가 처한 상황에 따라 다르기 때문에, 정확한 상담을 원하시면 관련자료를 지참해 형사전문변호사와 상담을 진행해보시는 것이 좋습니다. 참고하실만한 글을 소개해드립니다. 온라인 부업사기 피해회복 방법에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다. 온라인부업사기 피해금액 복구하는 방법정리 온라인부업사기 피해금액 복구하는 방법정리 돈을 먼저 입금하면 그에 따라서 미션을 진행하여 높은 수익을... blog.naver.com",https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1070402&docId=480899716&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,4,11,0,15,실패 표현은 있으나 애매
naver_kin,영상부업으로. 2만원 받았는데 이후 사기라고생각되어....,"법무법인 아이에이입니다. 영상 부업 플랫폼에서 미션 후 본인 계좌로 2만 원을 출금하고 이후 사기임을 인지하고 거래를 중단했으며, 주소·이름·계좌번호만 제공하고 금전을 추가로 입금하지 않았다면 현재로서는 법적 문제 발생 가능성은 낮지만, 개인 정보가 악용될 가능성과 같은 잠재적 위험은 있으므로 향후 의심스러운 연락이나 요구에 응하지 않고 증거를 보관하며 주의해야 합니다.",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60214&docId=492411416&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,6,8,0,14,실패 표현은 있으나 애매
naver_kin,인스타부업사기,"안녕하세요. 로톡-네이버 지식iN 상담변호사 민우기 입니다. ⛔ 경제범죄 최대 무기징역? 빠른 소명과 증거확보해야 할 때입니다. ✅ [24시간 실시간] 로엘 법무법인 경제범죄 대응팀 바로 연결 ▶ ✅ [선착순 익명 접수] 형사전문변호사 1:1 상담 접수 링크 ▶ 형법 제347조의 사기죄는 허위의 사실이나 기망행위로 상대방을 착오에 빠뜨려 재산상 이익을 취득한 경우 성립합니다. 사안처럼 인스타그램 부업을 가장해 영상 인증으로 소액 수익을 지급하며 신뢰를 형성한 뒤, 투자·실수·보상 절차 등을 이유로 반복 입금을 유도하고 실제로는 출금이 불가능하게 만든 구조는 전형적인 사기 수법입니다. 실제 사업체가 존재하지 않거나 수익 구조가 허위라면 기망행위와 사기 고의가 인정될 가능성이 높습니다. 회수 측면에서는 민사소송보다 형사 고소가 우선입니다. 형사 절차를 통해 계좌 추적과 명의자 특정이 이루어질 수 있고, 범죄 수익이 확인되면 몰수·추징이 문제될 수 있습니다. 변호사 비용은 사건 난이도와 범위에 따라 차이가 크며, 전액 회수는 상대방의 재산 보유 여부에 따라 달라집니다. 변호사 상담을 통해 송금 내역, 대화 기록, 안내 메시지, 앱 화면 캡처 등을 정리해 사기죄로 형사 고소를 진행한 뒤, 수사 결과를 토대로 민사상 부당이득반환이나 손해배상 청구를 병행하는 것이 현실적인 대응입니다. ✅ 내 사건의 맞춤형 진단 받아보기 (24H운영) [클릭3번 진단표] 경제범죄 사건 상담 접수 안녕하세요. 로엘 법무법인입니다. 24시간 연중무휴 실력있는 변호사들이, 당신의 사건을 위해 실시간 대응하고 있습니다. 아래의 설문 클릭 4번 (30초)으로 변호사의",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=484873303&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,10,7,0,17,실패 표현은 있으나 애매
naver_kin,부업 사기,"안녕하세요. 지금 상황은 “초기비용 환급 약속 불이행” 문제이며, 법적으로는 기망(기만)에 의한 계약 또는 약정 위반 문제로 접근할 수 있습니다. 결론부터 말씀드리면: ✅ 현재 상황 정리 항목 설명 초기에 안내받은 내용 “환급 기한 제한 없음”으로 여러 차례 확인 중간에도 재확인 “가입일자 이전자는 제한 없음” 확인 받음 ❗ 최근 변경된 내용 “가입일 기준 1년 이내 환급만 가능”으로 변경 ⏰ 현재 상태 가입한 지 1년 경과, 환급 거절 통보 받음 ⚖️ 법적 관점에서 핵심 쟁점 1. ""사전 고지된 조건"" vs ""사후 임의 변경"" 계약 또는 이용 약관에서 정해진 내용을 일방적으로 바꾸고, 소급 적용하는 것은 불공정 행위입니다. 이미 ""기한 제한 없음""으로 알고 시작했다면, 이는 계약의 중요한 내용입니다. 2. 환급 약속이 ""계약 요소""였다면 기망 가능성 만약 이 환급 약속 때문에 부업을 시작했다면, 그 약속이 사실이 아니거나 나중에 임의로 바뀌었다면 → 기망행위(사기적 요소)로 판단 가능 돌려받을 가능성을 높이는 방법 ✅ 환급받을 가능성 높이는 증거 자료 증거 유형 내용 ✅ 문자, 카카오톡, 채팅 기록 “환급 기한 제한 없음”이라 명시된 대화 ✅ 홈페이지/공지 캡처 예전 약관, 공지사항 내용 캡처 ✅ 결제 내역 초기비용 결제일자 및 금액 확인용 ✅ 상대방과 최근 문의 내용 “왜 바뀌었냐”에 대한",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60802&docId=484835177&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,6,14,0,20,실패 표현은 있으나 애매
naver_kin,부업사기 돈 다시 받을수있나요?,"안녕하세요. 네이버 법률과 함께 지식iN 법률상담을 진행하는 최현덕 변호사입니다. ✔️ 전 지역 평일/주말/공휴일 언제든 상담 접수 ✔️ 바쁜 주말에도 상담의 문은 열려 있습니다. ✔️ 송금 내역 등 증거 수집 및 피해 입증 지원 ✔️ 민형사 절차에서 빠짐없는 조력 제공 부업사기는 소액의 수익을 미끼로 초기 투자금이나 보증금을 요구하는 전형적인 사기 수법입니다. 사기꾼과 나눈 대화 내용, 송금 내역 등을 모두 증거로 확보하여 경찰에 사기죄로 고소해야 합니다. 피해 회복을 위해서는 가해자를 특정하는 것이 중요하기 때문에 사건 경위와 관련된 증거 자료를 철저히 준비하는 것인데요. 가해자가 특정된다면 절차가 진행될 것이며, 이때 합의를 하거나 배상명령신청 제도를 이용할 수 있습니다. 이런 과정을 통해서도 피해가 회복되지 않는다면 민사소송을 제기하셔야 합니다. 부업사기 피해로 인해 걱정이 많으실 것 같습니다. 피해 회복이 쉽지는 않지만 가해자 특정 시 법적 대응을 할 수 있으니, 법률 상담이 필요하시다면 연락 주셔도 좋습니다. ✔️ 24시 상담 접수 번호 확인 방법 - PC : 상단 프로필 클릭 - 모바일 : 프로필 or 하단 이미지 클릭",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=488940872&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,4,9,0,13,실패 표현은 있으나 애매
naver_kin,인스타부업사기,"안녕하세요. 로톡-네이버 지식iN 상담변호사 민우기 입니다. ⛔ 경제범죄 최대 무기징역? 빠른 소명과 증거확보해야 할 때입니다. ✅ [24시간 실시간] 로엘 법무법인 경제범죄 대응팀 바로 연결 ▶ ✅ [선착순 익명 접수] 형사전문변호사 1:1 상담 접수 링크 ▶ 형법 제347조의 사기죄는 허위의 사실이나 기망행위로 상대방을 착오에 빠뜨려 재산상 이익을 취득한 경우 성립합니다. 사안처럼 인스타그램 부업을 가장해 영상 인증으로 소액 수익을 지급하며 신뢰를 형성한 뒤, 투자·실수·보상 절차 등을 이유로 반복 입금을 유도하고 실제로는 출금이 불가능하게 만든 구조는 전형적인 사기 수법입니다. 실제 사업체가 존재하지 않거나 수익 구조가 허위라면 기망행위와 사기 고의가 인정될 가능성이 높습니다. 회수 측면에서는 민사소송보다 형사 고소가 우선입니다. 형사 절차를 통해 계좌 추적과 명의자 특정이 이루어질 수 있고, 범죄 수익이 확인되면 몰수·추징이 문제될 수 있습니다. 변호사 비용은 사건 난이도와 범위에 따라 차이가 크며, 전액 회수는 상대방의 재산 보유 여부에 따라 달라집니다. 변호사 상담을 통해 송금 내역, 대화 기록, 안내 메시지, 앱 화면 캡처 등을 정리해 사기죄로 형사 고소를 진행한 뒤, 수사 결과를 토대로 민사상 부당이득반환이나 손해배상 청구를 병행하는 것이 현실적인 대응입니다. ✅ 내 사건의 맞춤형 진단 받아보기 (24H운영) [클릭3번 진단표] 경제범죄 사건 상담 접수 안녕하세요. 로엘 법무법인입니다. 24시간 연중무휴 실력있는 변호사들이, 당신의 사건을 위해 실시간 대응하고 있습니다. 아래의 설문 클릭 4번 (30초)으로 변호사의",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=484873303&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,10,7,0,17,실패 표현은 있으나 애매
naver_kin,틱톡 쿠팡 손부업 투자 사기,"안녕하세요. 로톡-네이버 지식iN 상담변호사 윤세진 입니다. 거짓말 못하는 변호사의 솔직한 상담 피해회복 가능성 직접 확인하기 클릭 시 연결 보다 자세한 상담이 필요하다면 클릭 시 연결 핵심이 필요한 분들을 위해 단 세줄로 요약드리겠습니다. 1️⃣ 자님이 겪으신 과정은 전형적인 고수익 보장형 불법 투자사기 구조와 매우 유사합니다. 2️⃣ 신용점수 하락, 위약금, 오류 보상 등의 명목으로 추가금을 요구하는 행위는 모두 법적 근거가 없고 지급할 필요도 없습니다. 3️⃣ 더 이상 송금을 중단하고 즉시 수사기관에 신고하여 형사 절차와 피해구제를 병행하시기 바랍니다. ※ 변호사가 판단하는 회복 가능성 진단 [초원]피해회복을 위한 신속한 상담은? 안녕하세요. 법무법인 초원입니다. ✔️ 사기를 당한 상황이라면 가장 중요한 것은 피해를 얼마나 회복하는가 입니다. 시간이 흐를수록 피해회복 가능성은 점점 낮아집니다. 단순하게 수임만을 위해 가능하다고 말하지 않습니다. 철저하게 여러분의 상황을 파악하고 진솔한",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=490061282&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,4,9,0,13,실패 표현은 있으나 애매
naver_kin,부업 사기 연락,"장우건 변호사 입니다. 자님께서는 부업을 미끼로 한 사기성 연락을 받아 불안과 피해 가능성에 처해 계신 상황으로 이해합니다. 이러한 유형은 허위 채용, 선입금 요구, 대리송금 지시, 개인정보·계좌 제공 요구 등으로 확산되는 전형적 수법과 맞닿아 있어, 신속한 법적 대응과 증거화가 승패를 좌우합니다. 가장 먼저, 이미 금전 이체가 있었다면 전기통신금융사기 피해 방지 및 환급에 관한 특별법에 따라 이체한 금융회사 또는 수취은행에 즉시 사기이용계좌 신고와 지급정지를 신청하시기 바랍니다. 이때 거래내역, 대화 캡처, 입금증을 함께 제출하면 정지 결정과 피해환급절차 개시 가능성이 커집니다. 지급정지 후에는 경찰에 형법 제347조 사기죄로 고소장을 접수하여 계좌추적, 통신사실확인자료 확보, IP·플랫폼 가입정보 자료제공 요구 등 강제수사를 통해 피의자 특정과 환수 가능성을 높이는 것이 정석입니다. 아직 금전 이체 전이라면, 수집된 연락 내역이 상습·조직적으로 전송된 광고성 연락이면 정보통신망법 및 불법스팸 관련 규정 위반 소지가 있습니다. 수신거부 의사표시를 남긴 뒤(대화 캡처 포함) 한국인터넷진흥원 스팸신고와 함께, 사기 실행의 고의가 드러나는 경우에는 미수범으로도 사기 고소가 가능합니다. 텔레그램·오픈채팅·SNS 프로필, 초대링크, 리퍼러 URL, 가상자산 지갑주소, 리베이트 약정서류 등 메타데이터가 포함된 원본 파일 형태로 보존하시고, 플랫폼 사업자·통신사·금융기관을 상대로 민사소송에 대비한 사실조회 및 문서송부촉탁, 형사절차에서는 통신자료제공요청을 통해 신원 특정의 고리를 만들 수 있습니다. 부업 명목으로 타인 계좌로의 입금·대리송금·현금 인출 지시를 받았다면 즉시 중단하시기 바랍니다. 이러한 행위는 전자금융거래법상 접근매체 대여·알선, 범죄수익 은닉규제법, 사기 방조로 비화될 위험이 커, 향후 수사 시에는 최초 접촉 경위, 업무지시 내용, 지급 약정, 반대급부 구조, 본인의 주의의무 이행(신원 확인 노력, 이례성 인지 기록) 등을 일지와 자료로 정리하여 고의·방조 부인을 위한 진술 구조를 선제적으로 마련하는 것이 중요합니다. 이미 피해가 발생했다면 형사절차와 병행하여 민법 제741조 부당이득반환청구 또는 제750조 불법행위 손해배상청구를 준비하시기 바랍니다. 피고 특정이 어려운 경우라도, 사기이용계좌 명의인·가담 정황이 있는 중간 매개자에 대해 소송을 제기하며, 사실조회로 계좌 개설·입출금 흐름, 가상자산 거래소 KYC 자료, 송금 경로를 확보하면 인과관계를 보강할 수 있습니다. 피해액이 3천만 원 이하이면 소액사건으로 신속 절차를 활용하고, 자금 흔적이 확인되는 경우에는 가압류로 환수 가능성을 담보하는 전략이 유효합니다. 증거가 플랫폼 내부에만 존재한다면 소송 전 증거보전 신청으로 로그·대화기록의 보존명령을 받아 훼손을 방지해야 합니다. 고소장에는 사건 경위의 시간표, 기망 내용의 구체성, 신뢰 형성 과정, 처분행위와 재산상 손해, 금원 흐름 도표, 상대방 식별 정보 및 사용 기기·아이디·지갑주소·계좌번호를 빠짐없이 적시하시고, 스크린샷은 원본파일 해시값을 기재하여 증거 신빙성을 높이시기 바랍니다. 형사와 민사를 병행하되, 형사 고소 접수증과 수사협조 회신은 민사에서 증거로서 압박효과가 큽니다. 끝으로, 지금의 불안과 자책은 전혀 자님의 탓이 아닙니다. 조직적인 기망 구조는 누구에게나 빈틈을 노립니다. 다만, 법이 허용하는 절차와 도구는 생각보다 강력합니다. 지금 이 순간부터의 기록화와 신속한 지급정지, 형사 고소, 민사 보전 조치만으로도 판세는 충분히 바뀝니다. 혼자가 아니라는 마음으로, 한 걸음씩 절차를 밟아가시면 됩니다. 흔들림이 크실수록 사실을 시간 순서대로 적고 증거를 정리하는 것만으로도 마음과 사건 모두가 정돈됩니다. 자님께 분명히 유리한 국면을 만들 수 있으니, 용기 잃지 마시길 바랍니다. ... “편한 시간에 전화 주시면, 언제나 친절하고 따뜻한 상담을 약속드립니다.” 법무법인 강현 장우건 변호사 전화상담 1644-8945 http://kanghyun.co.kr/navercafe/smssend_new.php 법무법인 강현 공식홈페이지 법무법인 강현은 믿을 수 있는 실력과 경쟁력을 갖춘 변호사들로 구성되어 있으며 의뢰인에게 최선의 선택이 될 수 있는 법률서비스를 제공합니다. 최선의 결과를 위한 선택, 법무법인 강현과 함께 하세요. kanghyun.co.kr",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=489164816&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,8,7,0,15,실패 표현은 있으나 애매
