keyword,board_name,title,body,url,ad_score,side_score,failure_score,noise_score,final_score,reason
부업 실패,광주캠 자유게시판,카페 차리면 돈 얼마나 벌까?,"19/06/08 17:46
( 1인 카페랑 프렌차이점이랑 다르겠지만... 사실 잘은 모르겠는데) 일단 개인카페를 기준으로 이야기 해보자!
오늘 카페 갔다가 내 또래?처럼 젊으신 분이 사장님으로 계시더라고....
그 분처럼 젊은 나이에 취업 대신 일찍 자기 가게 차리신 분들 보니까 궁금한게 많아서 ㅎㅎ
요새 카페들 인테리어도 다 예쁘고 그러잖아. 암튼 그렇게 예쁜 카페들 사이에서 살아남기 참 힘들 거 같은데.... 그래도 계속 생기고 있는 추세라 궁금함. 취업 대신 창업을 하는 이유?가.
""카페가 포화시장이고 하루에 아메 몇 십잔을 팔아도 고작 얼마뿐이다.. 게다가 직원 1명 들인다고 치고, 인테리어나 메뉴 이것저것 관련해서 신경쓸것도 많고 드는 돈도 많고.... 본인이 운영하려면 쉴 수 있는 날이 없다. 카페 하는게 아니다!""이런 말들 많잖아?
궁금해서 유튜브 영상 막 찾아보면 실패 사례나 현실단점 들어보면 너무 이해가 되는거야.
근데도 하는 분들은 뭘까? 그래도 뭐가 장점이 있으니까 할 거 아냐...!
(생업으로 하는 사람보다는 부업정도로 하는 사람도 많다고는 하는데... 생업으로 하는 분들도 있을테니까.)
그리고 다 떠나서 중소기업, 9급공뭔에서 버는거랑 개인 카페 여는거랑 비교하면 어떤게 더 나을까?
남의 돈 받으며 일하는 게 차라리 마음은 편해 보이거든?
근데 그냥 단순히 돈만 보면 카페가 더 많이 벌 거 같아서.... 아닌가? 내가 너무 잘 된 케이스만 본거일수도..
근데 카페가 상권 잘 잡는다 쳐도, 중소기업, 9급이 월수입이 적다고 쳐도 .... 개인 가게는 자기 건물 아니면 나가는 돈이 많을 거 같은데...
걍 궁금함.... 우리 학교에도 한 사람들 있을 거 같은데... 창업
PS 전대 후문에 있는 카페들 커피는 맛없어도 인테리어 분위기 때문에 오는 사람들은 많잖아! 도 나많이 버실까? ㅎㅎ 궁금타
아닌가?
중소 갈바엔 차라리 카페 하나 차린다는게 현실적으로 타당한? 말이 맞니?
(알수없음)",https://everytime.kr/375208/v/78478771,0,4,7,5,6,엄격 조건 통과: 부업성/실패성 높음
부업 실패,광주캠 자유게시판,기생충 후기(펌),"(알수없음)
19/05/31 00:49
스포방지스포방지ㄴㄴㄹㄴㄴㄴㄹㄴㄴㄹㄴㄴㄴㄴㄴㄴㄹㄴㄴㄴㄴㄹㄴㄴㄹㄴㄴㄴㄴㄴㄴㄴㄴㄴㄹㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴㄹㄴㄴㄴㄴㄴㄹㄴㄴㄴㄴㄴㄴㄴㄴㄹㄴㄴㄴㄴㄴㄹ ㄴㄹㄴㄴ ㄴㄹㄴㄴㄴㄴㄴㄹ ㄹ ㄹ ㄹㄴㄴㄴㄴㄴㄴㄴㄴ
ㅡㅡㅡㅡㅡㅡㅡㅡㅡ
본 후기 중에 가장 인상깊고 내가 해석한거랑 비슷해서 퍼옴
ㅡㅡ
자본주의를 살아가는 혹은 살아내고 있는 계층 간의 역설과 언더도그마에 대한 영화
누구보다 높은 곳으로의 계층 이동을 갈망하지만 몇 번의 실패를 경험하며 (4수생 기우, 반복된 창업 실패의 가장 기택, 기정의 구직) 녹록지 않은 현실 앞에 기택 가족은 환경탓 사회탓만 하며 별다른 노력은 기울이지 않고 점점 가족이 처한 현실에 적응해 갑니다 (피자 박스 접는 그 쉬운 부업마저 대충대충해서 불량을 만들어내고 휴대폰이 정지돼 윗집의 와이파이를 훔쳐쓰며 살아갑니다.)
우연히 찾아온 기회 앞에 버거운 현실을 정면으로 마주하기 보다는 쉬운 길을 택
한 기택 가족은 여러 가지 불법 행위를 하지만, 그것이 얼마나 잘못된 일인지를 자각하지 못합니다.
그러나 잘 차려 입고 겉으론 배운 척, 있는 척 연기를 해보아도 그들 몸속 깊이 베인 반지하의 퀴퀴한 곰팡내는
숨길 수가 없었죠. 그리고 그 냄새를 본인들은 맡지 못합니다.
이는 물질만능주의가 가져다준 기택 가족의 도덕적해이와 아무리 발버퉁쳐도 벗어날 수 없는 가난의 굴레인 것이죠.
주인집 내외가 자신들에게 보내는 무시와 멸시는 기분 나빠하면서
지하 벙커에 사는 취약 계층에겐 더 가혹하게 핍박을 가합니다.
오줌 누는 행인에게 물을 끼얹고, 생존을 위해 죽을힘을 다해 계단을 오르던 지하벙커 사람을
발로 그냥 냅따 밀어버리죠 (계층 간 사다리를 치워버림)
기득권을 욕하지만 누구보다 기득권이 되고자하는 우리들의 자화상
오히려 지하 벙커에 숨어 사는 아저씨는 (나락으로 떨어져 재기 같은 건 꿈도 못 꾸며 사는 복지 사각지대의 초극빈층 or 정부에서 지급하는 최저 생계비 만으로 연명하고 있는 계층) 1층 박 사장 가족에게 한 없이 고마워하면서 미래에 대한 의지도 계획도 없이 그 비참한 삶에 순응해 안주하려 합니다.
반면 반지하에 사는 기택 가족은 가난을 벗고자 하는 의지와 현실 순응 사이에서 위태로운 물타기를 하고 있다가 우연히 찾아온 기회앞에 1층집의 부가 원래는 자신들 것인 양 호시탐탐 욕심을 내다 선을 넘고 말죠.
주인집 가족이 캠핑 갔을 때 주인집을 차지한 기택 가족이 즐기던 고급 양주와 고기 안주들,
지하벙커 아저씨가 생존을 위해 허겁지겁 먹어 치우는 우유와 바나나의 대비가 ㄷㄷㄷ했네요
그 둘 모두 주인집 냉장고에서 꺼낸 것들이죠.
영화 초반에 돈이 들어오는 좋은 돌이라며 박서준이 선물로 가져다준 수석..
그 수석은 부를 의미하고.. 물에 뜨는 가짜 돌이었고 기우는 끝가지 그 돌을 놓지 못해요.
그 돌로 사람을 죽이려고까지 하죠
기우가 집착하던 돌(부)은 되려 자신을 다치게 하는 부메랑이 되어 돌아오고
계층 이동에 실패하면서 자신의 가족이 지하 벙커로 떨어집니다.
그럼에도 불구하고 가장 밑바닥(지하벙커) 까지 떨어진 아버지를 구출하기 위해 기우가 내린 결론(계획)은
""돈""이라는 아이러니 ㅜㅜ 계획은 늘 실패하기 마련이라는 아버지의 충고에도불구하고 부를 향한 계급투쟁 말고는 방법이 없다는 걸 아는 기우는 곧 자본주의를 살아내는 우리들의 한계.
벙커 안 아저씨가 끊임 없이 땅위로 보내던 모스부호는
어쩌면 우리가 살피지 못하고 있는 사회 곳곳에서 보내는 구조 신호가 아닐까 생각했고
잠시 잠깐이지만 벙커에 남은 사람을 걱정하는 기택 가족의 마음은 가혹한 현실에 감춰져 있던 우리들의
양심이 아니었나 생각되어 졌어요
가난으로인해 스스로 벙커에 갇히길 택했고 , 어느새 자신의 존재 이유 마저 망각해버렸지만
그런 극한의 상황속에서도 남아 있는 인간 존엄의 몸(칼)부림은 매우 무겁게 다가왔어요
그 난리 중에도 기우를 업고 뛰던 다혜와
박사장을 향한 기택의 칼날이 주는 의미에 많은 걸 돌아 보게 된 거 같습니다
다솜이가 기택과 기택 아내에게서 같은 냄새가 난다고 말하기 전까지
기택 가족은 자신들의 몸에서 냄새가 나는 걸 모르죠 ( 자신들의 현실을 부정함)
그 후로 박 사장이 기택 몸에서 냄새가 난다고 말하는 걸 직접 듣는 순간까지
기택은 자신의 몸에서 나는 냄새에 계속 신경이 쓰입니다.
아무리 방버둥 쳐도 벗어나기 힘든 자신의 현실을 조금씩 알아(인정해) 가는 거죠.
박 사장이 벙커아저씨 몸에서 나는 냄새 때문에 코를 막는 걸 눈 앞에서 지켜본 기택은
자기 자신도 기생충과 다를 게 없는 존재라는는 걸 온몸으로 확인하게 됩니다
박 사장 이선균을 향한 칼날은 얼핏 보면 상류층을 향한 서민의 분노 같지만...
어쩌면 완전히 발가벗겨진 기택 자신의 열등감에 대한 부끄러움은 아니었을지...생각하게 되네요
그리고
마지막까지 기택은 책임을 다른 곳으로 돌린 거 같아요.
박 사장 포스터를 보며 혼잣말로 읖조린 사과는 뉘우침의 뉘앙스가 아니었어요.
안타깝지만 나도 어쩔 수 없었다는 책임회피 였을뿐.
돈 있으면 사람은 다 착할 수 있다고 자기들 사기행각을 정당화 하던 기택 마누라 대사와 일맥상통
(알수없음)",https://everytime.kr/375208/v/77600292,0,3,9,2,10,엄격 조건 통과: 부업성/실패성 높음
투잡 실패,졸업생게시판,넘 불안합니다,"25/05/01 01:05
전공이 적성에 안맞아서 취준 포기하고 중소기업 들어왔는데
일 자체가 힘들고 그런건 아니지만
종종 올라오는 대기업 연봉 이런거 보고 있으면
마치 인생 실패한것 같아요
지금이라도 공기업정도 취업 다시해야 하나 싶기도 하고요
설령 2-3년 취준하는거 버틸 정신력이 있을지도 모르겠구
막상 기업 들어간다 한들 내가 만족하고 살지도 모르겠어요.
투잡쓰리잡 하면서 아등바등 열심히 사는게 좋은건지
기대치를 낮추고 편안하게 사는게 맞는건지
매번 이런 고민만 잔뜩입니다
(삭제)
삭제된 댓글입니다.",https://everytime.kr/386037/v/378771116,0,3,9,0,12,엄격 조건 통과: 부업성/실패성 높음
투잡 실패,광주캠 자유게시판,호주VS한국 야구를 보면서 알게 된 점.(반박 환영),"23/03/09 17:40
0.호주 애들은 대부분 투잡을 뛴다(원래 직업+ 야구선수) 사실상 세미 프로
1.한국 야구는 미국 마이너리그 싱글에이+급이 딱 맞다.
2.강백호는 미국 메이저리그, 일본 NPB리그 절대 진출 못함. 실력이 개ㅈ이다(단군 할아버지가 도와줘도 절대 불가능)
3.이제 KBO 선수들 FA 할때 총 연봉100억 이상 절대 불가능 (이거 어기면 선수 및 에이전트 구속 수사 해야함.)
4.흔히 우리 생각에 재벌 회장들이 인내심 없고 성격 ㅈ 같갔다고 생각하지만
이번 경기를 통해서 저 따위 선수들 연봉주고 모기업에서 구단 운영비 결제해주는 것 자체가 인내심이 부처 석가모니, 예수님급 (특히 한화 김승연 회장님은 인내심이 신급이다. 과격한 남자라 오해해서 죄송해요.)
5.이정후 메이저리그 내년에 진출 불가능(씨발 무슨 죄다 뜬공이야 그리고 어쩌다 안타 몇개) 호주 투수들이 마이너리그 싱글에이, 더블에이 수준인데 무슨 정교한 교타자는 ㅈㄹ국뽕 언론 지랄이 풍년이다.
6.김하성, 토미 에드먼도 아무리 WBC가 단기전이어도 너무 타격이 에바쎄바다 (마치 람보르기니에 300CC 엔진 장착한 격)
7.나성범 메이저 포스팅 실패 이유 납득 가능(에이전트 보라스였음), 양현종 메이저리그 실패도 납득 가능.
8.야구는 병역 면제 혜택을 취소하는 것을 고려해봐야 하는 것이 아니라 ㅅㅂ 무조건적으로 취소 해야한다.
9.김하성 샌디가서 주전경쟁 가능한가?? 걱정된다.
번외. 최지만 빠져서 우리팀 큰일 났네 이 ㅈㄹ 언론이나 해설자들 존나 떠들더니 시범경기에서 계속 무안타............
이 글은 댓글이 달린 이후에는 수정 및 삭제가 불가능하므로, 작성하신 댓글이 삭제될 우려가 없어요.
보다 많은 학우들에게 도움이 될 수 있도록 정성이 담긴 답변을 부탁드려요.
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/292882984,0,3,7,0,10,엄격 조건 통과: 부업성/실패성 높음
쇼핑몰 실패,광주캠 자유게시판,근데 왜 민주당이 전라도에 뭐 안해줬다는거임?,"25/06/04 00:12
뭐 백화점 대형쇼핑몰 안지어줬다고 그러는거야? 근데 그건 기업이 선택하는거고 지역상인 반대땜에 안된거잖아.
막말로 잼버리같은거 보면 실패하는거에도 개퍼준거아님? 국힘은 뭐 줬나?",https://everytime.kr/375208/v/381810832,0,3,7,0,10,엄격 조건 통과: 부업성/실패성 높음
쇼핑몰 실패,광주캠 장터게시판,찐분홍색 상의 팔 사람 있어?,"22/04/27 17:53
찐분홍이 너무 예뻐보이는데 안 어울릴 것 같지만 도전은 해보고싶거든.. 근데 안 어울릴 걸 뻔히 알면서 새 옷 사기엔 좀 그래서ㅠㅜ
바보같지만 포기가 안되더라구.. 한번 실패해봐야 떨쳐낼 수 있을 것 같아ㅠㅠㅠ
혹시 안입는다거나 하는 옷 있으면 싸게 팔아줄 사람??
(사진은 에이블리 여러 쇼핑몰 사진이얌)",https://everytime.kr/377489/v/248912180,0,3,14,1,16,엄격 조건 통과: 부업성/실패성 높음
쇼핑몰 실패,광주캠 장터게시판,🏷옷장 정리,"21/10/09 20:06
배송 온 후 사이즈나 길이감 보려고 한번 입거나, 외출 시 딱 한번씩만 입어본 옷이라 실착 사진이 없어서 다 쇼핑몰 사진으로 대체합니다:)
쿨거하면 택배시 택배비 안받아요😆
1. 니어웨어 기모안감 핀턱 팬츠
슬랙스 소재 아니고 탄탄한 코튼 소재라서 늦가을~겨울에 니트 입을때 같이 입으면 어울릴 바지라고 생각합니다! 저한테는 허리가 좀 커서 못 입을 것 같아서 팔아요
(*사이즈랑 길이 보려고 꺼내본게 전부)
🏷총장:99.5 / 가격: 26000원 (원가:38000원)
2. 카라 골지 원피스
제가 파랑을 좋아해서 언젠가 하객룩 이런걸로 입어보고 싶어서 샀는데 제가 소화를 못해서...ㅜ
색이랑은 예뻐요💙
(*사이즈랑 길이 보려고 입어본게 전부)
🏷총장:81 / 가격: 9700원 (원가:14700원)
3. 나시원피스 1
제 생각보다 저한테 좀 길고 제 허리를 조금 덜 잡아주는 느낌이라서 팝니다! 원피스 자체는 쫀쫀하면서 신축성도 좋고 부들부들해요. 자켓은 없어서 원피스만 팔아요!
(*사이즈랑 길이 보려고 입어본게 전부)
🏷총장: 85 / 가격: 10000원 (원가:28800원)
4. 나시원피스 2 - 블랙입니다!
이것도 제 허리를 좀 잡아줬으면 하는데 조금 뜨면서 덜 잡아주는 느낌이라 팝니다. 두께감이 조금 있어서 늦가을~겨울에 입으시는것을 추천드립니다:) 위에 끈은 안늘어나요
인쇼로 산거라 기장은 모르지만 162기준 무릎 바로 위보다는 살짝 더 위
(*사이즈랑 길이 보려고 입어본게 전부)
🏷 가격: 20000원 (원가:39000원)
5. 나시원피스 3
겁나 예뻐보여서 샀는데 이것도 역시 소화 실패ㅋㅋㅋ....
허리는 앞에 두 원피스보다는 잘 맞았고 기장은 입을 수는 있지만 조금 짧을수도 있다고 느끼는 정도?
이거랑 세트가 볼레로 자켓?이었는데 사시면 자켓은 그냥 드릴게요
(*사이즈랑 길이 보려고 입어본게 전부)
🏷 가격: 14000원 (원가:3만원 초중반)
6. 라이더 자켓
저랑 안어울려요 색이... 여기에 같이 입을 옷도 없고..ㅜ
마감이랑 다 괜찮은데 제조과정에서의 문제인건지 팔 한쪽 넣으실때 약간 불편?한 느낌이 있어요. 입고 벗는데에 문제는 없었어요.
(*외출할때 1번 착용)
🏷 총장:60 / 가격: 18000원 (원가:36500원)
7. 니트조끼
색도 예쁘고 다 좋은데 제가 요새 크롭 니트조끼에 빠져서인지 긴 기장을 안입게 되었습니다. 보풀감이 살짝 있네요
(*외출할때 1번 착용)
🏷 가격: 5000원 (원가: 모름)
8. 흑청 데님
스판 없는 데님이에요! 제 허리가 22.5~23인치 인데 허리랑 다리 잘 맞았어요! 전 좀 더 긴 기장으로 하나 사려고해서 팝니다:) 살짝 길게 입고싶은 150후반분들도 예쁘게 입으실수 있을것 같아요. 부츠컷이라고 하는데 제가 종아리가 얇아서인지 그렇게 티가 안나는것 같기도 하고....
저랑 비슷한 체형이시거나 더 마르신분 추천드립니다.
(*사이즈랑 길이 보려고 입은게 전부)
🏷 총장: 99 / 허리단면: 30 / 가격: 18000원 (원가: 29000원)",https://everytime.kr/377489/v/212727503,0,3,11,5,9,엄격 조건 통과: 부업성/실패성 높음
쇼핑몰 실패,광주캠 장터게시판,🏷옷장 정리!!,"21/09/21 20:15
배송 온 후 사이즈나 길이감 보려고 한번 입거나, 외출 시 딱 한번씩만 입어본 옷이라 실착 사진이 없어서 다 쇼핑몰 사진으로 대체합니다:)
쿨거하면 가격 깎아드려요(택배비 안받아요)😆
1. 니어웨어 기모안감 핀턱 팬츠
슬랙스 소재 아니고 탄탄한 코튼 소재라서 늦가을~겨울에 니트 입을때 같이 입으면 어울릴 바지라고 생각합니다! 저한테는 허리가 좀 커서 못 입을 것 같아서 팔아요
(*사이즈랑 길이 보려고 꺼내본게 전부)
🏷총장:99.5 / 가격: 28000원 (원가:38000원)
2. 카라 골지 원피스
제가 파랑을 좋아해서 언젠가 하객룩 이런걸로 입어보고 싶어서 샀는데 제가 소화를 못해서...ㅜ
색이랑은 예뻐요💙
(*사이즈랑 길이 보려고 입어본게 전부)
🏷총장:81 / 가격: 9700원 (원가:14700원)
3. 나시원피스 1
제 생각보다 저한테 좀 길고 제 허리를 조금 덜 잡아주는 느낌이라서 팝니다! 원피스 자체는 쫀쫀하면서 신축성도 좋고 부들부들해요. 자켓은 없어서 원피스만 팔아요!
(*사이즈랑 길이 보려고 입어본게 전부)
🏷총장: 85 / 가격: 12000원 (원가:28800원)
4. 나시원피스 2 - 블랙입니다!
이것도 제 허리를 좀 잡아줬으면 하는데 조금 뜨면서 덜 잡아주는 느낌이라 팝니다. 두께감이 조금 있어서 늦가을~겨울에 입으시는것을 추천드립니다:) 위에 끈은 안늘어나요
인쇼로 산거라 기장은 모르지만 162기준 무릎 바로 위보다는 살짝 더 위
(*사이즈랑 길이 보려고 입어본게 전부)
🏷 가격: 21000원 (원가:39000원)
5. 나시원피스 3
겁나 예뻐보여서 샀는데 이것도 역시 소화 실패ㅋㅋㅋ....
허리는 앞에 두 원피스보다는 잘 맞았고 기장은 입을 수는 있지만 조금 짧을수도 있다고 느끼는 정도?
이거랑 세트가 볼레로 자켓?이었는데 사시면 자켓은 그냥 드릴게요
(*사이즈랑 길이 보려고 입어본게 전부)
🏷 가격: 14000원 (원가:3만원 초중반)
6. 셔츠 원피스 ❌거래완료❌
셔츠 재질이 흐물흐물한 원피스가 아니라 빳빳한? 코튼 느낌이 있는 탄탄한 원피스에요. 핀턱이 있어서 허리 잡아주는 원피스에요. 스판끼 없어요. 바스트가 크시면 불편하실 수도 있어요. 최대 55반까지만 추천드립니다
(*사이즈랑 길이 보려고 입어본게 전부)
🏷 총장: 84 / 가격: 20000원 (원가:37020원)
7. 라이더 자켓
저랑 안어울려요 색이... 여기에 같이 입을 옷도 없고..ㅜ
마감이랑 다 괜찮은데 제조과정에서의 문제인건지 팔 한쪽 넣으실때 약간 불편?한 느낌이 있어요. 저는 입고 벗는데에 문제는 없었어요.
(*외출할때 1번 착용)
🏷 총장:60 / 가격:20000원 (원가:36500원)
8. 니트조끼
색도 예쁘고 다 좋은데 제가 요새 크롭 니트조끼에 빠져서ㅎ 보풀감이 살짝 있네요
(*외출할때 1번 착용)
🏷 가격: 5000원 (원가: 모름)
9. 흑청 데님
스판 없는 데님이에요! 제 허리가 22.5~23인치 인데 허리랑 다리 잘 맞았어요! 전 좀 더 긴 기장으로 하나 사려고해서 팝니다:) 살짝 길게 입고싶은 150후반분들도 예쁘게 입으실수 있을것 같아요. 부츠컷이라고 하는데 제가 종아리가 얇아서인지 그렇게 티가 안나는것 같기도 하고....
저랑 비슷한 체형이시거나 더 마르신분 추천드립니다.
(*사이즈랑 길이 보려고 입은게 전부)
🏷 총장: 99 / 허리단면: 30 / 가격: 19000원 (원가: 29000원)
3. 블랙은 어떻게 생긴지 자세히 안보여서 그레이로 대신 사진 첨부합니다!!!
블랙 파는거에요! 그레이 아닙니다
5. 볼레로는 저게 똑딱이에요! 리본 묶는게 아니라 리본 똑딱이? 라고 생각하시면 될 것 같습니다.
그냥 화이트에요! 아이보리 이런게 아니라
앞 모델 샷 색+이 사진 자켓 색의 중간이 실제 자켓 색이라고 생각해주심 될 것 같습니다
맨 뒤 흑청 색입니다!
조명때문에 색이 이상하게 찍혔네요.",https://everytime.kr/377489/v/210144044,0,3,11,5,9,엄격 조건 통과: 부업성/실패성 높음
부업 사기,광주캠 자유게시판,내가 개꿀 부업 알려줌 너네만 알고있으셈,"21/07/14 18:05
메이플 켜서 리부트 섭에서 사기캐 하나 만든다
스데미 스펙까지 맞춰서 키운다
스데미 까지 보스팔이 하면 월 4만원 정도 개꿀 부업 수입 가능
한번 키워 놓으면 계속 적금임 ㅋㅋ
(알수없음)",https://everytime.kr/375208/v/199785046,0,3,5,1,7,엄격 조건 통과: 부업성/실패성 높음
부업 사기,광주캠 자유게시판,블로그 부업 해본 사람?,"21/04/18 23:11
내
블로그 진짜 그냥 일기장처럼 글 적어서 방문자 1~3정도란말야 (0일 때도 있음)
근데 재택 블로그 부업 할 생각없냐고 누가 댓글달았어 어떡할까?? 솔직히 뭔가 사기같은 느낌.. 도 들어 그냥 안 할까싶긴해",https://everytime.kr/375208/v/184042764,0,9,7,4,12,엄격 조건 통과: 부업성/실패성 높음
