title,body,url,side_score,failure_score,noise_score,final_score,reason
방금 대구경북만 재택수업이라는 글,"(알수없음)
20/03/04 10:16
글쓴이잘못보단 조교가 잘못전달한거같음ㅋㅋ
말이되냐 그 세개지역만 자가수업하는게",https://everytime.kr/375208/v/107250333,3,1,1,3,부업 관련이나 실패 여부 애매
isfp알바 투잡 뛰어야겠다,"23/08/11 14:53
생활비가 너무 쪼달리네..
편의점(주말)-오전8시부터 오후3시, 최저시급, 사장님 개천사
전단지 부착(평일)-오후3시부터 오후7시 주 2일이나 3일만 1년이상 장기도 가능 (방금 구함. 담주 월요일부터)
최대한 혼자 작업하는 알바 위주로 잡음 개좋다..ㅋㅋ 본가에서는 상상도 못했을일.. 역시 사람은 광역시 이상은 살아야 해..ㅋㅋ",https://everytime.kr/375208/v/312296065,3,1,1,3,부업 관련이나 실패 여부 애매
비전화기공대생인데,"20/07/21 15:19
주말알바투잡해서 오전7시부터오후12시까지일하면 뒤질까요 주말알바만요",https://everytime.kr/375208/v/133510100,3,1,0,4,부업 관련이나 실패 여부 애매
취업 vs 사업,"24/03/29 07:57
학교를 다니다가 쇼핑몰을 시작으로 프랜차이즈를 운영중인 재학생입니다.
현재 가맹점은 35곳 정도 오픈하고 전국에 150개 매장을 목표로 하고 있습니다.
최근 비교적 빠른 속도로 확장 중이라 함께하고 있는 팀원으로 감당하기 어려운 업무량이 쏟아지고 있습니다.
구인플랫폼에 공고를 등록하기 전 사업에 관심이 있는 분, 프랜차이즈 초창기를 함께 해볼 분을 만나고자 이 글을 작성합니다.
현재 저희 팀원은 모두 전대생으로 학교를 다니다가 만나 프랜차이즈 본사를 함께 운영하고 있습니다.
단순히 구인구직을 통해 만난 인연이 아니다보니, 서로가 적극적으로 임하여 좋은 성과를 만들고 있다고 생각합니다.
고객 CS 상담, 브랜드 홍보를 위한 SNS 마케팅, 가맹점 오픈공사 등 여러 업무를 함께 할 분을 만나고 싶습니다.
취업과 사업 등 여러가지 길에 고민인 분은 저와 대화 나눠보면 좋겠습니다.
관심 있는 분은 댓글 또는 쪽지 바랍니다.
근무하는 모든 시간에 페이를 드리고 있습니다.
(알수없음)",https://everytime.kr/386037/v/337545235,5,3,0,8,부업 관련이나 실패 여부 애매
부업하는 사람 있어?,"25/07/29 19:11
노트북으로 부업 시작해보려고 하는데 쉽지않네..ai쇼츠나 블로그 같은거 생각해보고 있긴 한데 잘 모르겠어
이 글은 댓글이 달린 이후에는 수정 및 삭제가 불가능하므로, 작성하신 댓글이 삭제될 우려가 없어요.
보다 많은 학우들에게 도움이 될 수 있도록 정성이 담긴 답변을 부탁드려요.",https://everytime.kr/375209/v/386041044,6,3,0,9,부업 관련이나 실패 여부 애매
유튜버 이름 찾아줄사람,"(알수없음)
25/06/09 22:22
일단 엄청 마르고 몽글몽글한 분위기가
추구미이신 분 . 남친 있는데 금발장발? 에 옹주인가 남친이름을 그렇게 불렀던 것 같고 나이차 꽤 났던 것 같음
치아교정기 하셨던걸로 기옥나고
엄청 수수한 느낌 타투있으셨던것같기도하고..
처음은 유튜브 이제 막 유명해지던 쯤
학생부터 유튜브 시작하셔서
메이크업 영상 위주 였음
그리고 다이어트법 으로도 유명했던 것 같은데
1일 1식을 샐러드로만 + 빡센운동 병행
막 이런 내용이었음
좀 뜸하다가
성인 되시고나서부터 엄청 나른하고 감성적인 영상분위기로 바뀌었고 친구랑 같이 사는데
막 집청소하는 영상 이런거 있고..
마음을 잘 다스리는 법 이라던가 책 추천이라던가
좀 이런 내면적인 내용의 감성적인 영상 으로 바뀌었덬것샅은데
본인어머니가 지어주신 애칭? 같은걸로 쇼핑몰? 쇼품샵? 온라인으로 냈던 것 같음 유하..? 였나 아닌것같은디
제발 기억나는 사람 제벌 부탁해
(알수없음)",https://everytime.kr/375208/v/382380248,3,3,0,6,부업 관련이나 실패 여부 애매
"尹, 독일 대신 호남 등 지방 간다…""첨단산업·문화복합단지 구상""","24/02/15 14:11
https://n.news.naver.com/article/025/0003341454?sid=100
정부는 구체적인 호남 발전 방안을 마련 중이다. 익명을 원한 여권 관계자는 광주를 예로 들며 “차세대 자동차 연구소, AI(인공지능) 연구원 등의 건립을 검토하고 있다”며 “문화 관련 국립 시설도 만들 것”이라고 말했다. AIㆍ모빌리티 산업 육성은 광주 지역의 숙원사업이다.
윤 대통령은 대선 때부터 호남에 각별한 공을 들여왔다. 대선 당시 전남 친환경 재생에너지 산업벨트 조성, 고흥 우주·항공산업 클러스터 구축을 비롯한 전남지역 공약을 발표했다. 전북지역 공약으로는 새만금의 국제공항 조기 착공과 국제투자진흥지구 지정 등을 제시했다.
=============
단순히 허언이라고 듣고 넘길수 없는게
새만금에는 LG나 SK같은 국내 굴지의 2차전지 기업들의 투자가 윤 정권 출범 이후로 10조원 규모의 투자가 이뤄졌고
광양만권에도 율촌산단 등지에 포스코퓨처엠 양극재 공장이 수조원 규모의 투자를 받고 LG에너지솔루션이나 그 외의 해외 국가들을 상대로 수출 판로를 여는 중임.
광주도 3대 복합쇼핑몰 유치하고, AI 인공지능, 미래 모빌리티 연구소 유치하고 첨단산업 육성으로 한발 더 나아가야... 영원히 갇혀있으면 발전할 수 없음.",https://everytime.kr/482730/v/330618899,4,3,0,7,부업 관련이나 실패 여부 애매
오늘자 복합쇼핑몰 3자협의안,"23/10/10 23:14
금호월드 요구안
1.금호월드 매입해라
2.금호월드 매장내에 신세계 브랜드 입점시켜라.
진짜 개쓰레기 단체
매장관리 이렇게 하면서 백화점 브랜드 입점시켜라 ㅋㅋㅋㅋㅋㅋㅋ
저번달에 찍은거 맞다
(알수없음)",https://everytime.kr/375208/v/318808222,3,1,1,3,부업 관련이나 실패 여부 애매
📌 인스타 릴스 영상 편집 알바 찾습니다,"25/11/26 15:40
안녕하세요! 인스타그램 릴스용 영상 편집을 도와주실 분을 찾고 있습니다.
✅ 작업 내용
인스타 릴스 영상 편집 (1분 이내, 1개)
희망 길이: 30~40초 중심
참고 자료 및 기획안 제공됨
톤앤매너 맞춰 영상 구성/자막/효과 적용
✅ 기간 및 일정
제작 기간: 11/29 ~ 12/7
12/3-4까지 1차 시안 맞춰 주실 수 있으신분 우대
✅ 페이(비용)
15만원 (건별/총액)
✅ 근무 형태
100% 재택, 비대면 협업
✅ 우대사항
쇼츠/릴스/TikTok 편집 경험자
트렌디한 편집 감각 보유자
피드백 반영 빠른 분
✅ 참고 예시 영상
https://www.instagram.com/p/DG18RmCAB95/?igsh=NW50MHByOWRnNmdw
✅ 지원 방법
구글 지원 폼: https://forms.gle/fhvy73mNcnqSppPL9",https://everytime.kr/424589/v/394836211,3,1,0,4,부업 관련이나 실패 여부 애매
기숙사생은 싸이버강의 어떡함??,"(알수없음)
20/03/05 20:29
3/16부터 3/27일까지 싸이버강의 재택수업한다는데
나같은 먼 지역에서 오는 20학번 신입생은 어떡함??
3/15일까지 기숙사 입소해서 싸이버강의 듣는거임??
아니면 광주 안 가고 내 집에서 싸이버강의 듣는거임??",https://everytime.kr/375208/v/107590920,3,1,0,4,부업 관련이나 실패 여부 애매
