source,title,question_text,link,failure_score,story_score,noise_score,final_score,reason
naver_kin,엔잡러 부업 사기?,잘해서 돈을 많이 벌게 되신 분들은 광고를 하는 것이고 못해서 하다가 포기하신 분들은 사기라고 하는 거겠죠 뭐든 하는 만큼인것 같아요 저도 부업 엄청 해봤는데 십자수 부업은 돈만 날렸구요 자동차 부품 부업은 하다가 손이 너무 아파서 병원비가 더 들었지요 그래도 돈은 벌고 싶어서 마케팅 부업도 시작했는데 사실 머리가 아파요 이것도 공부더라구요 무엇을 하시든 하는 만큼이예요 사기라고 믿으면 사기가 되고 나도 된다라고 믿으면 되는 거겠죠 도움이 되셨으면 좋겠습니다,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=12013301&docId=448321149&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,12,27,0,39,질문 본문 기준 실패 경험담
naver_kin,인스타그램 부업 제태크사기,"3월22일 제가 인스타 부업으로 원금보장 제태크를 시작하였습니다. 타깃사이트를 선정하여 제가 회원가입을하고 충전을 한뒤 아이디,비밀번호를 알려주고 로그아웃을 하고 기다리면 알아서 게임을 해 돈을 불려주다고 해서 저는 기다리고 있었습니다.한시간도 채 안지나서 수익 대박났다며 처음 200만원으로 시작한돈이 2천 정도로 불려있었습니다.그러고 출금해도 된다길래 2천을 한번에 출금신청을 하니 출금이 되질않아 게임사이트 관리자에게 문의를 드렸습니다.그랬더니 공지사항 확인을 하지않았냐며,저희 카지노는 합법적으로 운영하는 카지노이고,금감원에서 직접 관리하는 카지노여서 한번에 출금을 할시 보안시스템에 걸린다라고 하시면서 499만원을 추가 입금하여 업그레이드를 하면 한번에 출금가능하다길래 입금을 하였습니다.그러고 제가 또 출금시도를 하니 출금이 안되어서 관리자에게 연락을 드렸더니 다시한번 공지사항 확인을 하지않았냐며 수수료1400원도 같이 보냈어야됬다고 하더라구요.그러면서 이미 499만원만입금처리가 되서 1400원을 따로 입금을 못한다면서 499만1400원을 충전하여 또 한단계 더 업그레이드 하면 제가 입금한 금액 전부 한번에 환전가능하다길래 2차로 499만1400원을 입금하고 또 출금신청을 하니 다음날 오전 11시30분 이후에 출금신청이 가능하다고 하더라구요.그래서 그런줄만 알고 자고 일어났더니(3월23일) 게임사이트관리자가 갑자기 연락와서 다짜고짜 대리게임했냐고 지금 시스템 전체가 망가졌다면서 왜 ip가 해외로 뜨냐며 화를내더라구요.그러곤 덧붙이는 말로 저때문에 시스템전체가 망가졌으니 지금당장 2000천만원 입금해서 출금정지풀고 부당수익한 금액 제외하고 나머지 금액 출금하는 방법밖에 없다며,그렇게 하지않으면 그 카지노 측에서 저한테 손해배상 청구를 하는데 금액이 380억인데 감당할수 있냐고 하더라구요.그땐 저도 너무 무서워서 일단 500만원 입금을하고 나머지 1500만원은 다음날 (3월24일)입금을 하기로 했는데 사기인거같아 일단 입금을 하지않았습니다. 이거 사기맞나요,, 관련태그: 재산범죄",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=415567189&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,12,48,4,56,질문 본문 기준 실패 경험담
naver_kin,주휴수당 관련,제가 공장을 운영했는데요 처음에는 외주가공비 즉 부업에서부터 시작 하다가 공장을 설립하여 운영을 하게 되었습니다. 3년정도 운영하다 적자가 심해 2015년 폐업을 결정하였습니다. 그런데 주휴수당을 지급하지 않았는데 2016년 직원이 노동부에 주휴수당 직브을 원하는 진정서를 제출하였습니다. 제가 알고 싶은 것은 첫째 다시 주휴수당을 포함한 월급을 계산해서 지급한 차액을 빼서 계산할때 보너스로 나간 금액을 빼고 지급해도 되는것입니까 과거에 주휴수당이 없는 대신 석식시간을 잔업수당으로 포함하여 계산하여 월급을 지급하였고 그외 기타 보너스를 수시로 지급한 바 있습니다. 둘째 주휴수당을 몇년치를 지급해야 하는것인가요? 다닌 기간 전체를 지급해야 하나요 아니면 지급대상 기간이있나요,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60802&docId=259823791&qb=67aA7JeFIOyggeyekA==&enc=utf8,4,25,4,25,질문 본문 기준 실패 경험담
naver_kin,인스타 부업 사기,동생이 인스타를 하다가 수익을 보장을 해준다고 해서 가입 권유를 받았습니다. 많은 수익을 내어준다기에 혹해서 설명을 듣고 사이트를 가입 후 아이디와 비밀번호를 가르쳐주고 충전 후 연락을 달라고 했답니다. 그래서 진행 후 연락을 했더니 작업이 완료 될 때 까지 아이디로 로그인 하지 말아달라고 연락이 왔고 시간이지나 작업이 완료됐다고 출금하고 수수료를 달라고 하셔서 출금을 하는 도중 너무 많은 수익이 발생하여서 500만 원의 입금 내역을 가지고 있어야 출금이 된다길래 500만 원을 충전했더니 수수료 1500원을 포함해서 500만+1500원으로 다시 입금해야 된다고 했습니다. 더이상은 안될거같아 환불은 안되냐고 가입한 사이트에 물어보니 가능하다고 했습니다. 그래서 진행해달라고 하니 환불을 하려면 입금내약이 있어야된다고 자기들이 600만원을 보내줄테니 출금 후 알려주는 계좌로 보내라고 했습니다. 동생계좌가 한도제한계좌여서 저한테 부탁을해서 대신해주었습니다. 다 보냈더니 환불받을 때 동생 계좌가 아닌 제 계좌로 받게 변경되어서 제 이름으로 다시 입금내역을 만들어야 된다고 합니다. 그래서 다시 600만원을 2번 보내는 도중 전기통신사기금융특별법이라고 전자금융거래제한됐습니다. 사이트에서 잘못신고를 했다고 거래제한 풀어준다고 기다리라고 해서 일주일정도 기다렸습니다. 그리고 오늘 채권소명 개시통지가 연락왔구요 채권소명 개시통지는 피해자가 피해 구제신청을 해야 채권소멸절차가 진행되는걸로 알고있습니다. 잘못신고해서 은행가서 처리해준다면서 신고취하하면 될거 구제신청을 했더라고요. 돈은 600만원 그대로 통장에 있습니다. 보내달라고 하면 바로 보내줄수도 있습니다. 금감원에서 연락왔다고 관리자에게 말해보있지만 계속 기다리라고만 하는데 언제까지 기다려야할지도 모르겠고 돈 나갈곳은 많은데 나가지도 못하고 답답해서 올려봅니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=404398577&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,8,19,0,27,질문 본문 기준 실패 경험담
naver_kin,리치패밀리 부업,안녕하세요 부업 생각중 이신가봐요 저같은 경우엔 간호사로 일하다 결혼과 출산을 하면서 집에서 할수있는 일을 찾다가 시작하게된 부업이 본업이 된 케이스예요 제가 하는일은 핸드폰 하나만으로 시간 장소 구애받지 않고 제가 하고싶을때 잠깐씩 짬내서 할수있다는게 장점이예요 그래서 직장인분들도 투잡 쓰리잡 으로 많이들 하시고 계세요 저도 아직 어린이집 안다니는 애기 키우면서 짬짬이 하고있구요 결코 부업이라는거 시작하기까지가 어렵지 막상 시작해보면 어렵지 않아요 애드펌킨 같은 경우엔 쇼핑몰 운영(도서관련 스마트스토어 ) / 패널사이트(인스타 좋아요/ 팔로우/ 판매 사이트) / 마켓 운영(의류&잡화) 또는 공구(2주에 한번씩 공구상품 업댓) 라던지 이거말고도 인스타로 좋아요만 누르고 다니면 되는 폰으로 손쉽게 할수있는 다양하게 수익구조가 있는편이예요 처음에 셋팅만 해놓으면 자동 판매가 되는 자동화 쇼핑몰이라 신경 하나도 안쓰셔도 되요 보시면 다소 하기 어려우실꺼라 생각하실수도 있는데 컴맹 폰맹인 저도 손쉽게할수 있는 지식인에 글 올리실줄 아시는정도면 누구나 다 하실수 있는 일이예요 애드펌킨은 합법적이고 안정성있는 하나의 회사이구요 당일 수익금은 5시 이전까지 당일 출금 신청 하시면 3.3% 세금 제외하고 입력하신 계좌로 본사에서 바로 입금해주는 안전한 부업 회사예요 https://open.kakao.com/o/s7wtZs8c 저도 애기 엄마이고 애기 이름 걸고 활동하고 있어서 사기 거짓 정보없이 다 알려드리니 안심하시고 궁금하신거 있으시면 ⬆️⬆️링크로 언제든지 문의주시면 자세하게 설명해드릴께요 ♥️ 애드펌킨 가입링크 ♥️ http://me2.do/Gcd98EGv 00:38 접기/펴기 클릭만으로 수익금벌기 00:59 네이버 플레이스 저장 이외에도 다양한 수익구조가 있어요!! 00:02 셋팅 한번만으로 자동화 쇼핑몰 운영하면서 수익금 벌기 당일 수익금은 당일 출금 신청 가능!!,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60805&docId=419459625&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,4,33,4,33,질문 본문 기준 실패 경험담
naver_kin,돈좀 되는 투잡일 뭐가 있나요?,"저는 집에서 쉽게 할 수 있는 온라인 마케팅 부업을 시작했는데요 온라인마케팅 홍보하는걸로 정말 돈이 될까?? 다 사기인줄 알았는데 정말 돈이 벌리더라구요ㅎ 하루 1시간정도만 투자해도 꾸준히하면 수당이 들어오더라구요! 홍보가 아닌 진심으로 괜찮은 부업이라 오지랖 떨고싶어.. 공유 해드립니다! 혹시 집에서 시간이 남으신다면 한번 상담받아보시길 강력 추천드립니다!! 하는 일은 대기업에서 시작한 쇼핑몰 사업을 온라인으로 마케팅 하는 일입니다! 5-8명정도 팀으로 진행이 되고 누구나 쉽게 따라할수있도록 가이드가 있습니다! 가장 중요한 수입은 첫달은 온라인마케팅 교육받고 마케팅 하는법 숙지하는정도로 생각하시고 평균 2-3개월차부터 수당이 발생합니다. 현재 하고계신분들 평균 3-4개월차 수당 50-100만원 1년 넘으신분들은 300-400이상으로 수당 받고 계신분들도 많더라구요!! 하루 1시간으로 시간 노력대비 정말 괜찮은 부업이라고 생각하여 이렇게 추천드립니다!! 저와함께 경제적 자유를 누리실 분은 ⬇️아래 설문 링크⬇️ 작성해주세요 확인 후, 카톡으로 무료상담 해드려요! https://naver.me/5AfZhXWS 대기업 플랫폼 비지니스 설문조사 naver.me",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40613&docId=445630969&qb=7Yis7J6hIOyCrOq4sA==&enc=utf8,4,29,4,29,질문 본문 기준 실패 경험담
naver_kin,인스타그램 부업 제태크사기,"3월22일 제가 인스타 부업으로 원금보장 제태크를 시작하였습니다. 타깃사이트를 선정하여 제가 회원가입을하고 충전을 한뒤 아이디,비밀번호를 알려주고 로그아웃을 하고 기다리면 알아서 게임을 해 돈을 불려주다고 해서 저는 기다리고 있었습니다.한시간도 채 안지나서 수익 대박났다며 처음 200만원으로 시작한돈이 2천 정도로 불려있었습니다.그러고 출금해도 된다길래 2천을 한번에 출금신청을 하니 출금이 되질않아 게임사이트 관리자에게 문의를 드렸습니다.그랬더니 공지사항 확인을 하지않았냐며,저희 카지노는 합법적으로 운영하는 카지노이고,금감원에서 직접 관리하는 카지노여서 한번에 출금을 할시 보안시스템에 걸린다라고 하시면서 499만원을 추가 입금하여 업그레이드를 하면 한번에 출금가능하다길래 입금을 하였습니다.그러고 제가 또 출금시도를 하니 출금이 안되어서 관리자에게 연락을 드렸더니 다시한번 공지사항 확인을 하지않았냐며 수수료1400원도 같이 보냈어야됬다고 하더라구요.그러면서 이미 499만원만입금처리가 되서 1400원을 따로 입금을 못한다면서 499만1400원을 충전하여 또 한단계 더 업그레이드 하면 제가 입금한 금액 전부 한번에 환전가능하다길래 2차로 499만1400원을 입금하고 또 출금신청을 하니 다음날 오전 11시30분 이후에 출금신청이 가능하다고 하더라구요.그래서 그런줄만 알고 자고 일어났더니(3월23일) 게임사이트관리자가 갑자기 연락와서 다짜고짜 대리게임했냐고 지금 시스템 전체가 망가졌다면서 왜 ip가 해외로 뜨냐며 화를내더라구요.그러곤 덧붙이는 말로 저때문에 시스템전체가 망가졌으니 지금당장 2000천만원 입금해서 출금정지풀고 부당수익한 금액 제외하고 나머지 금액 출금하는 방법밖에 없다며,그렇게 하지않으면 그 카지노 측에서 저한테 손해배상 청구를 하는데 금액이 380억인데 감당할수 있냐고 하더라구요.그땐 저도 너무 무서워서 일단 500만원 입금을하고 나머지 1500만원은 다음날 (3월24일)입금을 하기로 했는데 사기인거같아 일단 입금을 하지않았습니다. 이거 사기맞나요,, 관련태그: 재산범죄",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=415567189&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,12,48,4,56,질문 본문 기준 실패 경험담
naver_kin,몸이 좀 불편해서 그런데 집에서 부업거리 할만한게...,"꼭 하셔서 나중에 후회 하는일 없도록 하세요^^!! 이젠 필수앱입니다~ 관심가지고 꼭 하세요^^ 쉬워요~ 휴대폰코인채굴 해보세요. 가입도 간단, 하는건 더 간단하고 돈도 일절들지 않아요. 게다가 대박도 노릴 수 있어요. 이걸 안할 이유가 있나요^^ 돈되는건 다해야합니다! 비트코인은 놓쳤지만, 파이코인은 놓치지마세요~ 4000천만명이 하고 있어요~ 저도 일하면서 꼬박꼬박 누르고 있답니다~ 공짜로 줄때 모아놓으세요^^ 연예인들도 하고있는 최초 휴대폰채굴 세계최대유저보유 파이코인!! 꼭하세요!! 착실히 진행 잘되고 있고, 확실히 미래를 바꿔줄겁니다. 가치를 알아볼수있는 사람이 되어야 합니다 이런기회조차 없었다면, 왜 그때 나는 그걸 알지못했냐며 억울할것 아닙니까. 아무리 좋은것도 그냥 넘겨버리면, 절대 부자가 될 수 없습니다. 잠시만 유튜브 네이버 검색해 보시면 바로 알 수 있어요~ 모르겠다! 그러면 그냥 믿고 일단 하십시요!! 손해볼 것 전혀 없습니다. 부자가 될 수 있는 마지막 기회입니다. 아무것도 하지않으면 아무일도 일어나지않습니다. 이제 신분확인(KYC) 이후 시세만 잡히면 됩니다. 1000원이될지 비트코인이나 이더리움처럼 100만 1000만이 될지 아무도 모르는겁니다. 지금시작하셔도 1억~수십수백억이 될 수도있습니다. 이런 꿈 희망이라도 있어야되지 않겠습니까! 절대 돈드는거 아니고 그 어떤것도 요구하지않습니다. 하루에 2초만 시간내서 클릭한번씩 해주면된답니다. 휴대폰 속도 배터리에 아무 영향도 없습니다. 추천인은 꼭!!!!!!! narak2 설치방법 https://m.blog.naver.com/isac21c/222247080893 minepi.com/narak2 로 접속하셔서 다운로드진행하시면됩니다. 플레이스토어(Pi network)로 다운받으셔도 상관없습니다. 이미 1000만명(5000만명)이상이 다운로드하셨고 안전함이 입증되었습니다. 많은 사람들이 모이는곳은 반드시 돈이 됩니다.",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=401&docId=420373209&qb=67aA7JeFIO2bhO2ajA==&enc=utf8,12,15,4,23,질문 본문 기준 실패 경험담
naver_kin,헬로우드림 재택부업을 할까 하는데요,외벌이 신랑에 아이둘 집대출에 때마다 있는 경조사로 신랑 본업 벌이가 적은게 아님에도 투잡을 하는 신랑이 너무 안쓰러워서 뭐라도 해보고 싶은데... 작은아이를 아직 원에 보낼 나이가 안되서.. 이렇게 저렇게 아무리 고민해도 아이를 데리고 할수있는일이 아무 것도 없고... 혼자 이런저런 궁리 하다 인터넷에 부업이라고 검색해서 알게됬어요 거기서 말하는 고수익 까진 안바라고 단돈 얼마라도 벌수 있다면 하는게 좋을까 싶어서 고민 되는데요... 너무 고수익 고수익 이야기 하고 그냥 괜히 초기비용만 날리는게 아닌가 싶기도 하고... 컴퓨터 진짜 잘 못하고 적성도 아닌데... 할수 있을까 싶고... 괜히 맘이 급하고 하다보니... 하면 안되는건데 시작하는건가... 다단계성은 아닌데... 뭔가 다단계처럼 사기 스럽게도 느껴지고 궁핍하니 별거에 다 관심이 가는구나 싶고... 하네요... 제가 궁굼한건... 고수익 고수익 하는 분들의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40611&docId=288353961&qb=7J6s7YOd67aA7JeFIOyCrOq4sA==&enc=utf8,8,18,0,26,질문 본문 기준 실패 경험담
naver_kin,손부업포장사기예요,포장부업 사기라니요. 정말 무서운 세상입니다. 조심해야 겠어요. 부업은 무조건 안전 보장이 최고입니다. 내가 손해 보지 않는지 꼭 따져서 하셔야 해요. 저는 그래서 SBS에 소개되었던 안전한 온라인 부업을 하고 있어요. 소비자들 모임이라서 투자금 같은것도 없고 쓰던 생활비 그대로 쓰면서 수익내고 있어요~ 따로 들어가는 돈은 없답니다. 링크 드릴테니 부업 꼼꼼히 알아보세요. https://linktr.ee/jeongyeonmom 온라인 무료창업 | Linktree 링크클릭 linktr.ee,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40611&docId=453104487&qb=67aA7JeFIOyGkO2VtA==&enc=utf8,8,18,0,26,질문 본문 기준 실패 경험담
