source,keyword,title,description,full_text,link,pubDate,text_length,label,failure_score,story_score,noise_score,final_score,reason
naver_kin,부업 사기,엔잡러 부업 사기?,... 분들은 사기라고 하는 거겠죠 뭐든 하는 만큼인것 같아요 저도 부업 엄청 해봤는데 십자수 부업은 돈만 날렸구요 자동차 부품 부업은 하다가 손이 너무 아파서 병원비가 더 들었지요 그래도 돈은 벌고 싶어서 마케팅 부업도 시작했는데...,엔잡러 부업 사기?... 분들은 사기라고 하는 거겠죠 뭐든 하는 만큼인것 같아요 저도 부업 엄청 해봤는데 십자수 부업은 돈만 날렸구요 자동차 부품 부업은 하다가 손이 너무 아파서 병원비가 더 들었지요 그래도 돈은 벌고 싶어서 마케팅 부업도 시작했는데...,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=12013301&docId=448321149&qb=67aA7JeFIOyCrOq4sA==&enc=utf8,,142,unlabeled,8,20,0,28,실패 서사 명확
naver_kin,부업 후회,없고를 떠나 정말로 초보가 해도 되는 부업 소개 해주세요.,... 맞는말이에요 저도 그래서 처음에 시작하기까 진짜많은 시간이 걸렸네요 그많은 부업중이 저는 쇼핑몰부업을 선택을했고 후회없습니다 일단 제쇼핑몰에서 내가 구입해도 수입이 잡혀서 초기자본 회수되는게 빨랐고 다른...,없고를 떠나 정말로 초보가 해도 되는 부업 소개 해주세요.... 맞는말이에요 저도 그래서 처음에 시작하기까 진짜많은 시간이 걸렸네요 그많은 부업중이 저는 쇼핑몰부업을 선택을했고 후회없습니다 일단 제쇼핑몰에서 내가 구입해도 수입이 잡혀서 초기자본 회수되는게 빨랐고 다른...,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110308&docId=341864123&qb=67aA7JeFIO2bhO2ajA==&enc=utf8,,152,unlabeled,4,21,0,25,실패 서사 명확
naver_kin,부업 적자,주부 재택근무나 주말에 일할꺼 없을까요??,"... 손부업도 찾아봤는데 사기가 많은데다 선금을 내야한다고 해서 그런것도 못하겠네요... 퍼스트드림같은건... 계속 적자... 저도 그래서 집에서 하는 아르바이트를 시작했답니다. 물론, 카페종업원으로 하루 13, 4시간 씩 일도 하고...","주부 재택근무나 주말에 일할꺼 없을까요??... 손부업도 찾아봤는데 사기가 많은데다 선금을 내야한다고 해서 그런것도 못하겠네요... 퍼스트드림같은건... 계속 적자... 저도 그래서 집에서 하는 아르바이트를 시작했답니다. 물론, 카페종업원으로 하루 13, 4시간 씩 일도 하고...",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=406&docId=152150486&qb=67aA7JeFIOyggeyekA==&enc=utf8,,157,unlabeled,8,18,4,22,실패 서사 명확
naver_kin,부업 후회,다름이 아니라 부업에 관심이 많아서요. 초기비용은...,... 내가 할수있을까라는 생각에서 저도 시작했는데 왜 더 빨리 하지않았을까라는 후회가드니깐요. 부업경력1년차 부담은 내려놓으시고 언제라도 블로그 방문후 연락주시면 친절하고 자세하게 안내해드립니다. 감사합니다!,다름이 아니라 부업에 관심이 많아서요. 초기비용은...... 내가 할수있을까라는 생각에서 저도 시작했는데 왜 더 빨리 하지않았을까라는 후회가드니깐요. 부업경력1년차 부담은 내려놓으시고 언제라도 블로그 방문후 연락주시면 친절하고 자세하게 안내해드립니다. 감사합니다!,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=505&docId=286260272&qb=67aA7JeFIO2bhO2ajA==&enc=utf8,,147,unlabeled,4,21,0,25,실패 서사 명확
naver_kin,투잡 후회,배달대행 투잡,... 더 많은 수익을보실수 있으실꺼구요 저도 처음엔 투잡. 부업정도로만 생각하고 시작했는데 지금은 전업으로 하고있답니다 자세한 내용은 설문조사 작성해주시면 설명드리겠습니다 그냥 지나치시면 나중에 후회하실수도 있어요 ~,배달대행 투잡... 더 많은 수익을보실수 있으실꺼구요 저도 처음엔 투잡. 부업정도로만 생각하고 시작했는데 지금은 전업으로 하고있답니다 자세한 내용은 설문조사 작성해주시면 설명드리겠습니다 그냥 지나치시면 나중에 후회하실수도 있어요 ~,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40607&docId=374432407&qb=7Yis7J6hIO2bhO2ajA==&enc=utf8,,129,unlabeled,4,22,0,26,실패 서사 명확
naver_kin,투잡 후회,"회사원 개인사업 으로 투잡 생각중인데, 세금 변화가...",... 재택 근무 투잡은 어떠신가요~? 세금 에 변화가 없어요 ㅎㅎ 저도 벌이가 부족해서 온라인 부업이란걸 듣게... 시작해보시는게 후회 없으실거라 장담할 수 있어요 한참을 걱정하다 시작했는데 막상 직접 일해보니 너무 쉬워서.....,"회사원 개인사업 으로 투잡 생각중인데, 세금 변화가...... 재택 근무 투잡은 어떠신가요~? 세금 에 변화가 없어요 ㅎㅎ 저도 벌이가 부족해서 온라인 부업이란걸 듣게... 시작해보시는게 후회 없으실거라 장담할 수 있어요 한참을 걱정하다 시작했는데 막상 직접 일해보니 너무 쉬워서.....",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40309&docId=417278611&qb=7Yis7J6hIO2bhO2ajA==&enc=utf8,,161,unlabeled,6,21,4,23,실패 서사 명확
naver_kin,재택부업 실패,헬로우 드림 진짜 손해안보고 수익 얻을 수 있나요?,... 처음시작한 재택은 실패했었습니다... 돈만날리고.. 결국접었죠 또... 이미그런거 보고 혹했다가 실패경험있어서.. 초보인제가 어떻게그렇게 수익을... 수익안난다고 금방포기하시는 분들은 어쩔수없이 실패를 하게되고.. 정말...,헬로우 드림 진짜 손해안보고 수익 얻을 수 있나요?... 처음시작한 재택은 실패했었습니다... 돈만날리고.. 결국접었죠 또... 이미그런거 보고 혹했다가 실패경험있어서.. 초보인제가 어떻게그렇게 수익을... 수익안난다고 금방포기하시는 분들은 어쩔수없이 실패를 하게되고.. 정말...,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=107&docId=344113526&qb=7J6s7YOd67aA7JeFIOyLpO2MqA==&enc=utf8,,157,unlabeled,12,21,3,30,실패 서사 명확
naver_kin,부업 후회,양주 부업,... 그래서 부업을 하려하는데.. 엄마도 허락하신일.. 양주에는.. 부업이 있나요? 직접 가서 하는게 아닌 집에서 하여서... 저도 고민 한달 넘게 했는데 빨리 시작할껄 하고 후회 했거든요 성실한 정팀장과 함께 꼭 원하시는 여. 유. 로. 운...,양주 부업... 그래서 부업을 하려하는데.. 엄마도 허락하신일.. 양주에는.. 부업이 있나요? 직접 가서 하는게 아닌 집에서 하여서... 저도 고민 한달 넘게 했는데 빨리 시작할껄 하고 후회 했거든요 성실한 정팀장과 함께 꼭 원하시는 여. 유. 로. 운...,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=3010203&docId=255468491&qb=67aA7JeFIO2bhO2ajA==&enc=utf8,,144,unlabeled,4,19,3,20,실패 서사 명확
naver_kin,부업 후회,집에서 하는 부업,제가 우울증이 있어서 사회 생활이 힘들어서 집에서 하는 간단 부업으로 용돈을 좀 벌려고 함니다 집에 서 간단... 야속한 시간만 계속 흘러가더라구요 그래서 시작했는데 해보니 절대 후회할 일이 아니였어요 포스팅으로만 매달 50만원...,집에서 하는 부업 제가 우울증이 있어서 사회 생활이 힘들어서 집에서 하는 간단 부업으로 용돈을 좀 벌려고 함니다 집에 서 간단... 야속한 시간만 계속 흘러가더라구요 그래서 시작했는데 해보니 절대 후회할 일이 아니였어요 포스팅으로만 매달 50만원...,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40611&docId=358062179&qb=67aA7JeFIO2bhO2ajA==&enc=utf8,,140,unlabeled,4,20,0,24,실패 서사 명확
naver_kin,재택부업 사기,알바 인근거주자 우대,"... 요즘 재택부업 사기 많잖아요~ 저는 대기업에서 시작한 일이라 믿고 시작했어요 하루 한시간만 투자하는거라 시간적으로 부담없어서 만족하며 즐겁게 일하고 있네요 첫달은 10, 20만원 6개월후에는 100만원이상 3년후에는 1000만원...","알바 인근거주자 우대... 요즘 재택부업 사기 많잖아요~ 저는 대기업에서 시작한 일이라 믿고 시작했어요 하루 한시간만 투자하는거라 시간적으로 부담없어서 만족하며 즐겁게 일하고 있네요 첫달은 10, 20만원 6개월후에는 100만원이상 3년후에는 1000만원...",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40611&docId=404225491&qb=7J6s7YOd67aA7JeFIOyCrOq4sA==&enc=utf8,,145,unlabeled,4,21,7,18,실패 서사 명확
